g band,r band,age [Gyr]
-8.584705,-9.40299,9.15074393201026
-7.54405,-8.36192,9.123527959268431
-8.06938,-8.888298,9.19534850679038
-7.8432007,-8.662132,9.196253764694674
-8.2486,-9.066415,9.119978604750806
-8.195113,-9.013185,9.136726421698567
-8.275037,-9.093912,9.192209808489688
-7.516833,-8.4598675,9.215164014716628
-8.071391,-8.890356,9.198666534158916
-8.1528845,-8.970583,9.112320577387926
-8.215301,-9.033952,9.176183956875974
-8.029655,-8.848003,9.154881220520679
-7.391874,-8.210391,9.166665835087763
-8.430575,-9.248675,9.138618004530386
-8.214931,-9.033918,9.200294729865423
-7.1142936,-8.049482,9.217778391994804
-8.19275,-9.011952,9.215675219607757
-7.8740277,-8.692969,9.196917474939161
-8.355028,-9.173086,9.135872067885103
-8.28413,-9.102124,9.131720005714648
-7.9404974,-8.883925,9.215765018466076
-7.8759565,-8.810567,9.215524618710578
-7.6723366,-8.606637,9.213600869219263
-8.303906,-9.121516,9.106554222039382
-8.024166,-8.8432865,9.209751052753358
-7.778147,-8.597215,9.205958659528985
-8.062244,-8.881341,9.20806592770812
-8.044066,-8.863083,9.202283615263998
-8.156327,-8.975219,9.193417118519115
-7.561562,-8.3804455,9.192813704811176
-8.054497,-8.873379,9.192753315831173
-8.031691,-8.849487,9.118753752215245
-7.8417635,-8.786493,9.105019665093215
-8.232087,-9.04977,9.111339099263791
-8.246357,-9.064091,9.11464968035202
-8.021687,-8.956691,9.212157374740643
-8.101745,-8.919433,9.1117072752513
-7.7563014,-8.573843,9.102071957283425
-8.104981,-8.923567,9.171517874639946
-7.604488,-8.423717,9.21750808094914
-7.720692,-8.661702,9.216846788577621
-7.9425645,-8.761394,9.18888765162697
-7.9812837,-8.9106245,9.196495286108876
-8.254515,-9.073059,9.16854678357685
-7.658075,-8.594928,9.214713135436376
-8.167189,-8.98479,9.106001848175977
-7.967399,-8.7855015,9.138739976863508
-8.283416,-9.101928,9.16630171917798
-8.084794,-8.902887,9.138191096846299
-7.666047,-8.599953,9.213480659168523
-8.2807045,-9.098855,9.141911056023634
-7.9321313,-8.751306,9.213630804705758
-7.3943663,-8.213198,9.189068845938465
-7.6558523,-8.473433,9.104650926005283
-7.701966,-8.621744,9.214983944615696
-8.058071,-8.877049,9.199601156695959
-8.525063,-9.343741,9.178182239634296
-8.253393,-9.072379,9.200113616456255
-7.838817,-8.656758,9.128236999052193
-7.8929405,-8.711787,9.190216847847676
-8.417231,-9.235226,9.131720005714648
-8.163789,-8.982771,9.199872597874107
-7.994528,-8.813609,9.206922017562768
-8.035061,-8.854035,9.199329712578498
-8.123562,-8.941429,9.12340591565756
-7.7877417,-8.606498,9.183689115084693
-7.43473,-8.376573,9.216786925315342
-7.8843894,-8.703502,9.209209317587124
-7.8147182,-8.633725,9.201590565130179
-8.501601,-9.320055,9.162113310179041
-7.9185123,-8.737696,9.21423231325205
-7.789815,-8.60891,9.207945223099703
-8.682377,-9.499927,9.10262441327657
-7.8804574,-8.699401,9.197098143378055
-8.1704035,-8.989481,9.206681064570358
-8.021214,-8.83999,9.18507992911801
-7.8250933,-8.643105,9.132819435333442
-8.606426,-9.425326,9.193960599778691
