g band,r band,age [Gyr]
-8.084029,-8.8893795,8.33042484244995
-8.309689,-9.114761,8.313299130091405
-7.9535036,-8.759359,8.36175078281951
-8.100808,-8.992082,6.881493520010115
-7.9322476,-8.738099,8.361472089994093
-8.5552025,-9.349438,7.686751863924135
-7.9625454,-8.817681,9.64763810364264
-8.084573,-8.993236,8.67330572591525
-8.554666,-9.348749,7.6775180937198435
-8.167242,-8.965195,7.912424389788045
-7.80477,-8.670129,7.351314796731391
-7.684048,-8.558222,8.679138340908743
-8.184089,-9.060248,7.324614732525964
-8.512298,-9.318337,8.373180403168735
-7.859158,-8.664721,8.343589152187658
-8.195707,-9.000725,8.309924462800215
-7.9259934,-8.84991,7.03593001754601
-8.209499,-9.004101,7.708867458810249
-7.7664704,-8.572493,8.37206640433716
-7.687684,-8.596218,9.644007576623949
-7.991758,-8.797982,8.384589133167779
-7.774598,-8.689352,8.410669501891338
-8.274174,-9.20717,7.052090238455113
-8.300362,-9.228632,8.293026543937879
-8.07563,-8.994083,7.13194361055355
-8.365288,-9.2395115,5.251122629335086
-7.9475408,-8.754032,8.401248700226782
-7.9893575,-8.886525,8.463606225612793
-8.072114,-8.877997,8.36342482303189
-7.641605,-8.566996,9.601770639832521
-7.9566846,-8.882861,6.920102757655487
-7.72322,-8.609862,8.461409524413423
-7.840766,-8.699098,9.676032659489415
-7.7271867,-8.642681,8.603403839233989
-7.8284345,-8.731415,9.33916000634094
-8.201163,-9.006997,8.36035585872996
-8.18265,-9.007442,7.387205686709425
-8.056678,-8.981359,7.061240237218334
-8.388785,-9.241615,7.31816735287808
-8.001165,-8.903244,7.334597192159818
-7.8581147,-8.76844,7.2454479390596545
-8.50307,-9.288391,7.20811128747548
-8.292261,-9.179581,7.054253517476576
-7.467282,-8.410692,9.804233372333757
-8.061304,-8.885651,10.371894932879657
-8.031469,-8.9618,9.545674316356433
-7.9730897,-8.870573,9.602659219612843
-7.8677826,-8.789525,7.134416987249435
-7.9598813,-8.765867,8.369837356961359
-8.232337,-9.137421,7.065894331780559
-8.695045,-9.470116,6.630113003805585
-7.7856116,-8.689111,8.544074115376223
-8.384154,-9.263723,7.20872421005415
-8.33525,-9.14045,8.321165926464992
-7.554566,-8.462037,7.32501713306971
-7.801437,-8.726697,6.981228630788311
-7.271304,-8.2069845,9.78507818338663
-7.786599,-8.592788,8.382364596925424
-7.60981,-8.525748,8.449313252422117
-8.429838,-9.230625,8.06319719391741
-8.16532,-8.972514,8.4449085474681
-8.014159,-8.819907,8.355051074888031
-8.057613,-8.924199,7.427868450476274
-8.599693,-9.403456,8.23296618781634
-8.430533,-9.278936,7.302027408012914
-8.479639,-9.284934,8.327059679459701
-7.8330727,-8.638413,8.32986416044566
-7.98227,-8.855325,7.278567444996003
-8.171275,-8.976566,8.326778836637205
-7.4642544,-8.376197,9.352750376820978
-7.1153226,-8.041203,8.453164690745698
-8.288803,-9.094788,8.36969803756476
-7.744095,-8.6587305,7.29257085987402
-7.8476763,-8.727358,8.677547813273755
-8.23152,-9.036565,8.311612069516041
-7.9791536,-8.787037,8.487993628404123
-8.065539,-8.932579,8.701354566302108
-8.026988,-8.833778,8.419799749663696
-7.542409,-8.449385,9.791898660126703
-8.449706,-9.252725,8.187702154106105
-8.822306,-9.704825,5.313934486417491
-8.535163,-9.336448,8.08999692824096
-8.384421,-9.189698,8.325937259045732
-8.553482,-9.34492,8.959463140640104
-8.19557,-9.117081,9.882940261385547
-8.641578,-9.55604,6.161921683378346
-7.950206,-8.816531,10.068130858458995
-7.9399486,-8.826822,5.503957161874723
-7.370889,-8.264907,8.22556208952638
-8.262845,-9.048541,7.417363375495092
-7.9144077,-8.810311,7.307195972932763
-8.349514,-9.155702,8.382364596925424
-7.7024975,-8.629325,7.1582863127372525
-7.940678,-8.826279,8.471426211699821
-8.193849,-9.084845,8.456463981539208
-8.004531,-8.915467,5.807984277091145
-8.411975,-9.207174,7.745274578803336
-8.438295,-9.232911,7.709786611413347
-7.7163258,-8.618702,9.638942075565215
-7.8469677,-8.733462,7.280672987247367
-7.318489,-8.26154,9.400257057561445
-7.592832,-8.52492,7.202308438443677
-7.7601776,-8.674986,8.597900050020836
-8.260466,-9.065674,8.321727202069866
-7.9285326,-8.785152,8.57138413018155
-8.230163,-9.036405,8.385701356587308
-7.069355,-7.9805913,8.438847804863588
-7.7901425,-8.70672,7.0409310481134595
-8.025309,-8.85566,7.405728997713689
-8.147547,-9.025638,7.323003163639771
-8.231984,-9.036638,8.287595589605196
-8.422349,-9.261415,7.3900824373518255
-8.487731,-9.372559,7.103203365936946
-8.285483,-9.140968,7.299118226613318
-9.0480995,-9.805675,5.497165651326865
-7.964724,-8.839892,8.66799832506289
-8.465772,-9.361584,5.496292315333632
-8.11248,-9.002176,7.225903579982411
-7.9696517,-8.878252,8.417310801844376
