g band,r band,age [Gyr]
-7.8268867,-8.775785,11.11511600986491
-7.716472,-8.640719,11.114823551124566
-8.149312,-8.919443,11.770803045403099
-7.944491,-8.78623,11.506380723590084
-7.86282,-8.675632,11.762320797765682
-8.219417,-9.093621,11.166365562133059
-7.652533,-8.586741,11.142595883277961
-7.96332,-8.867534,11.253865049704952
-8.346142,-9.121861,11.776031459618896
-8.304101,-9.111572,11.732472681398278
-7.7602715,-8.665344,11.243570656199216
-8.347699,-9.180567,11.195328383286578
-7.6123066,-8.53952,11.239106387773148
-7.42318,-8.286346,11.709893012521617
-7.9841814,-8.771733,11.77380814947506
-8.64916,-9.447099,11.218925097570438
-8.084532,-8.951015,11.162490121666778
-7.200031,-8.174178,11.136802904323833
-7.4733486,-8.431206,11.152561170542203
-8.289113,-9.116949,11.727930471357626
-8.059523,-8.906723,11.199865986242038
-7.500551,-8.405258,11.214419739469307
-8.458403,-9.316659,10.27821514899108
-8.119765,-9.035706,11.473270632818329
-7.6811223,-8.523168,11.541753789320612
-7.9440193,-8.759917,11.750544890574194
-7.5335855,-8.488799,11.12779912376892
-7.560584,-8.505065,11.138252302118236
-7.55096,-8.413101,11.204537425239007
-7.3382463,-8.312259,11.462046099226425
-7.892776,-8.723296,11.758738981135366
-7.7320285,-8.639126,10.455322858422598
-7.9206796,-8.791019,11.194050975708434
-7.6676564,-8.54127,11.698858673855208
-7.135317,-8.028243,11.626096832129278
-7.917367,-8.707435,11.745590545346964
-7.222276,-8.181232,11.137962604436105
-7.8551264,-8.831954,11.566346067822913
-7.201173,-8.1266,10.754506464791929
-6.9688034,-7.9206557,11.184663615235136
-8.173797,-9.007332,11.18551855678812
-7.5975413,-8.493411,11.273783082501929
-8.363014,-9.155143,11.769911788704542
-7.6791472,-8.573505,11.182668444231995
-8.105662,-8.975636,11.181527336505397
-7.747079,-8.705917,11.599855960460086
-7.5185537,-8.360606,11.542495685408626
-7.523519,-8.365449,11.52836501496793
-7.6834617,-8.589847,11.622042938061208
-7.650623,-8.600211,11.25358748248021
-8.128156,-9.031962,11.312625885325756
-7.658913,-8.522376,11.727475646501738
-7.865171,-8.738256,11.690082990451849
-7.595458,-8.49727,11.201707460589933
-7.8080573,-8.645639,11.735193478392171
-7.688196,-8.530378,11.557523085070734
-7.6387277,-8.478166,11.161196723118818
-7.6555843,-8.56831,11.178244949452084
-7.9633164,-8.9125595,11.091639222123547
-7.7313533,-8.676336,11.267712965934665
-7.311529,-8.283152,11.127072011297932
-7.418577,-8.296245,11.204678798662624
-7.6419034,-8.546602,11.57903105900676
-8.124401,-8.997715,11.175101184644504
-8.267747,-9.140873,11.671490881824534
-7.866238,-8.790849,10.599080319608557
-7.737337,-8.552065,10.699321685325838
-7.448428,-8.337723,10.53574115655285
-8.274153,-9.020297,11.782022189615931
-7.3881946,-8.3095255,10.928103531617891
-7.087062,-8.029166,11.177245091868159
-7.825722,-8.662889,10.643701680032368
-8.006734,-8.93246,11.038844875530506
-8.417368,-9.225839,11.751444411275852
-7.8864756,-8.795915,11.630499976996983
-7.6604595,-8.561908,10.537280831780528
-7.394746,-8.236055,11.456926944505055
-8.288841,-9.092316,11.187369434330257
-7.003454,-7.923403,10.376866884584848
-8.004576,-8.845376,11.65050177700446
-7.9169273,-8.807736,11.694706357697793
-7.222655,-8.185173,11.548419657984049
-8.131851,-8.971012,11.618579410867548
-7.8360815,-8.690527,11.665882117457837
-8.007974,-8.929986,10.901649709326215
-7.6456494,-8.539142,11.693089359318002
-7.2707477,-8.246564,11.349286164841168
-7.7499084,-8.54995,11.761090255062873
-7.738514,-8.600612,11.635487643395475
-7.978795,-8.865325,10.481782842478498
-7.9519753,-8.773955,11.76041862746014
-8.005654,-8.81146,11.73156512783236
-7.829705,-8.758112,10.875597186031882
-7.507296,-8.365084,11.71950151264683
-7.547452,-8.516692,10.871551100501659
-8.483884,-9.296728,11.60611449340822
-7.4539847,-8.3588705,11.168229668962233
-8.0619135,-8.9539,11.60274669586073
-7.755691,-8.67708,11.19376708327191
-7.6736617,-8.590305,11.665648162686765
-7.8514547,-8.756067,11.18665753943327
-7.372897,-8.333973,11.544718985561062
-7.891358,-8.765289,10.562344106213205
-7.860092,-8.772312,10.845001092797462
-7.2842603,-8.253657,11.12954437785308
-7.5941415,-8.435763,11.4927880649445
-8.395915,-9.1700945,11.782243712938161
-8.05425,-8.908869,11.634301242730055
-7.707998,-8.470418,11.694590815432829
-7.634757,-8.54868,11.682200869771684
-7.53553,-8.474947,10.95864978392871
-8.050608,-8.832661,11.772473050909287
-7.246422,-8.139702,11.322245907449371
-8.143614,-9.029072,11.188365750107877
-7.9653964,-8.845434,11.17624471790495
-7.671785,-8.571312,10.901256483774656
-7.2623615,-8.199241,11.199724538549585
-7.5377,-8.480309,10.198924571351679
-7.569508,-8.470304,11.414796570644869
-7.465369,-8.3316765,11.218362507527406
-7.8218064,-8.709447,11.662838181803181
-8.27306,-9.08609,11.642357023766916
-7.9032097,-8.824011,11.123869180470258
-7.766974,-8.676703,10.832323653416887
-7.368336,-8.317055,9.377724829040035
-7.3603873,-8.332881,11.584376260065412
-7.6577907,-8.486636,11.739720217018377
-7.592027,-8.429283,11.691817996616692
-7.684849,-8.617613,11.146788654524467
-7.84408,-8.78249,11.008820363698058
-7.887409,-8.827786,10.28237043304344
-7.7464037,-8.620439,11.643657514173896
-7.8658843,-8.840439,11.54101221256115
-7.5907307,-8.545899,11.079531006238415
-6.999388,-7.9045687,11.316966159305373
-7.590753,-8.433053,11.571232962177454
-7.4635386,-8.304469,11.398054620647665
-7.454101,-8.366391,11.625620327585786
-7.7067304,-8.56126,11.710580704256289
-7.5619607,-8.435414,11.707598876368458
-8.345567,-9.271922,10.928415306198701
-7.458914,-8.387008,10.356383585939644
-8.178835,-9.017641,11.728498721767785
-7.774242,-8.681469,11.16923254092473
-7.476558,-8.396478,11.185803519735734
-7.97749,-8.892594,11.173241723153197
-7.60678,-8.439526,11.74986993416773
-7.4081664,-8.363889,11.168946250795742
-7.484959,-8.421431,11.195044530265177
-8.066839,-8.810854,11.78445778434503
-7.8467984,-8.786428,11.19376708327191
-7.604251,-8.532726,10.852039580697918
-7.4911313,-8.437332,10.292361717111783
-7.5190907,-8.443436,11.642238891040279
-8.099636,-8.955666,11.692395917303834
-8.045732,-8.886642,11.394639963563817
-7.209698,-8.127157,11.161771816383157
-8.255038,-9.055436,11.76064257402
-8.331286,-9.21047,11.249974674616581
-8.440351,-9.352918,9.755329390609655
-7.9616027,-8.811624,11.136947772003388
-7.699886,-8.615479,11.630381070807301
-7.723856,-8.638154,10.48035278975421
-8.5312195,-9.329806,11.767124118212072
-7.9948244,-8.892895,11.209624270472741
-8.956621,-9.68993,11.783129732530865
-8.558453,-9.448307,6.930826746678209
-7.8412447,-8.68342,11.556786167623667
-8.005127,-8.845388,11.706221113184872
-7.118923,-8.090719,11.166508747903155
-7.304959,-8.145884,11.397004628166854
-7.3724113,-8.343466,11.080640669019559
-8.153222,-9.027823,10.653404927394975
-7.839908,-8.74855,11.645783768520161
-7.5054746,-8.450954,11.169519231227895
-7.9331894,-8.744842,11.642593669462748
-7.6353,-8.441981,11.222580473511156
-7.838754,-8.732891,10.543432042722149
-7.4349566,-8.386095,10.95679819135653
-7.577412,-8.532167,11.178816131540923
-7.9844956,-8.794941,11.755936426302943
-7.3034725,-8.144367,11.392010259921632
-7.2964087,-8.248256,11.26854148766144
-8.237278,-9.1231,9.75586619906026
-7.685592,-8.634521,10.8827244835358
-8.668073,-9.431572,11.777364144300387
-7.5053234,-8.346984,11.497327609575054
-7.9542866,-8.847145,11.150109154547323
-7.9574175,-8.905284,10.33140997978221
-7.9406443,-8.788938,11.222018516615414
-7.617792,-8.504971,11.696091375288947
-7.2446585,-8.198708,11.328054793180051
-7.3070326,-8.279538,11.119204149792203
-8.3963585,-9.271413,11.577083852833377
-7.5648475,-8.503369,11.605874139840594
-7.4845996,-8.322519,10.99970664755951
-7.73249,-8.648139,10.353976995697783
