g band,r band,age [Gyr]
-9.570227,-10.201859,1.974848735057499
-9.045024,-9.759539,2.9349096134276635
-9.2201,-9.873547,2.2381909473677712
-9.2799635,-9.9356365,2.303376499147122
-9.690335,-10.291573,1.7452928505693919
-9.587032,-10.149804,1.4758835958951195
-8.927685,-9.6354,2.88754315614932
-8.796966,-9.522487,3.15754622165926
-9.341394,-9.999505,2.3763944230502023
-8.8064375,-9.514785,2.891916948878789
-9.4880085,-10.044665,1.440336287067721
-9.365432,-9.964106,1.7252868820143128
-9.086925,-9.744865,2.374506797459503
-9.541966,-10.150246,1.799408753508697
-10.396656,-10.881098,1.0546280810518045
-10.56199,-10.988921,0.9571665794149542
-8.5507965,-9.272965,3.073817316385803
-8.729475,-9.457342,3.3126395550034413
-10.090744,-10.76457,1.6166120124498917
-9.759428,-10.318359,1.4534577563060047
-9.101777,-9.776464,2.629919423182244
-10.673442,-11.175868,0.829041977591741
-8.565742,-9.368508,3.4382831957167888
-9.108106,-9.745059,2.0234200677658993
-8.812451,-9.535653,3.0993386386273762
-8.978863,-9.689478,1.9114963237234068
-9.261895,-9.967807,2.8751088525162665
-9.642561,-10.250944,1.8001350382077046
-9.078052,-9.809029,3.5007773271129174
-9.880329,-10.482106,1.749534419619108
-9.941326,-10.494308,1.3813934899504652
-9.461369,-10.085402,1.9140240189855966
-9.54203,-10.154166,1.8263621512415984
-9.27344,-9.929146,2.3045603617383374
-9.828742,-10.410666,1.5932105895376605
-8.855027,-9.58221,3.2099155969382327
-9.160925,-9.863066,3.56416135449364
-8.842227,-9.611249,2.7646977240632253
-9.479908,-10.030659,1.3338972849591695
-9.459531,-10.2080965,2.4660918352557832
-8.538171,-9.349114,3.3970962568233176
-8.629891,-9.345581,2.943175780187829
-9.10218,-9.761939,2.3947874842557155
-9.492658,-10.129509,2.022461942438376
-10.590305,-10.95008,0.8024460096137638
-9.039023,-9.709654,2.5811378333502475
-9.750325,-10.327688,1.564417578267685
-9.045558,-9.738235,3.584129822426389
