g band,r band,age [Gyr]
-9.189821,-9.843474,2.243413461243934
-8.814662,-9.503879,2.762613535634438
-8.672221,-9.459989,3.005059314911515
-9.129237,-9.788934,2.3940806541901107
-9.042596,-9.774298,3.613154504002633
-9.5402775,-10.217632,3.515253355523342
-8.801773,-9.597574,7.781959488710535
-9.190948,-9.841331,2.1690073109621917
-8.544591,-9.326517,2.759138659892045
-8.833233,-9.535458,2.8498695584399822
-8.855199,-9.619722,3.5690447395608196
-8.952481,-9.668542,3.691564394653634
-8.993571,-9.700553,2.277562386766663
-8.518998,-9.301632,3.1809150830738186
-8.892955,-9.628455,2.468676407955673
-8.561104,-9.286167,3.145963967951893
-8.688072,-9.394214,2.4572801516917515
-8.629733,-9.470921,3.3964247008107424
-8.987343,-9.716051,2.996819449254053
-9.326399,-9.9885435,2.4216428437586845
-8.963718,-9.625321,2.4155208983683636
-8.649842,-9.432688,2.996362045093937
-8.5067835,-9.284329,3.603633179190421
-8.919512,-9.644731,3.5432809659608697
-8.612171,-9.339002,3.190888706200111
-9.212965,-9.908695,2.199702292745764
-9.282341,-9.962946,2.702762400856768
-9.140324,-9.877172,3.203575870342217
-8.909627,-9.610664,2.8417954836031054
-8.689243,-9.474788,2.873496319225607
-8.852666,-9.586586,2.2763777848412694
-9.391884,-10.104961,2.77164537503908
-9.271548,-9.989794,2.37049586893753
-9.151984,-9.898309,2.552141638168113
-8.726356,-9.38453,2.377101747514196
-8.79556,-9.52047,3.142101910126332
-9.21094,-9.890069,2.6844017895631715
-8.912748,-9.639349,3.184995618261693
-8.919962,-9.590945,2.585343735863251
-8.830736,-9.519391,2.7589070147519283
-8.951597,-9.606583,2.2789841511891265
-8.552119,-9.388787,3.569488884927699
-9.350864,-10.062911,3.5801386711129535
-8.707723,-9.4354315,3.2885338569993614
-9.182833,-9.832,2.1543585954978237
-8.916137,-9.706895,3.497212029298044
-8.359493,-9.182467,3.501891318063315
-8.799246,-9.456603,2.3643597655205397
-8.745296,-9.467576,3.076553282110174
-8.708442,-9.374505,2.466443810664847
-8.796046,-9.4593,2.434233855044928
-9.065435,-9.732277,2.4898074309807754
-8.779034,-9.507079,3.3398614081016067
-9.086601,-9.8147545,3.356489235740586
-9.299834,-9.951311,2.189356230560856
-9.396792,-10.106465,2.7155362303350756
-8.322961,-9.153942,3.4606274390206337
-9.536686,-10.239293,3.003915537978706
-9.17971,-9.831351,2.1934005459083856
-9.102595,-9.759142,2.334835032854418
-9.198489,-9.875599,2.516076122000765
-9.413469,-10.099317,2.402564600572049
-8.930761,-9.648952,2.977350203375245
-8.827735,-9.538635,2.909631273031197
-8.836336,-9.492398,2.3173376695545382
-8.747703,-9.469072,3.617581578627572
-8.804113,-9.507301,2.8564413608009236
-8.963475,-9.744112,3.5150306629276997
-9.009374,-9.789216,3.1095831724335845
-9.090009,-9.807741,3.6031895769990943
-8.880496,-9.715535,3.5339436172699727
-9.425061,-10.077786,3.8105831658929095
-8.325299,-9.161133,3.5661597941767234
-8.6512575,-9.371045,2.7127502926456266
-9.350053,-10.121082,3.2019904208389622
-8.899402,-9.598738,2.8302546970849
-8.760444,-9.504648,2.262154500950155
-9.086526,-9.755437,3.749201941574814
-9.072399,-9.773386,2.841449430522541
-9.021762,-9.68199,2.400031751402059
-9.090721,-9.747713,2.3510194216109355
-8.961183,-9.619251,2.3759222795530146
-9.011826,-9.667936,2.3191115956433173
-9.14696,-9.8160925,2.561967544875131
-9.052989,-9.788866,3.6545019565570005
-8.9917965,-9.651956,2.3992659634475473
-8.7164755,-9.444999,3.41411962684319
-9.200527,-9.927295,3.5621639560944605
-9.05625,-9.721392,3.799639127955583
-9.131486,-9.821866,3.691123551559272
-8.900319,-9.628021,3.2876318231443857
-9.009864,-9.707714,2.8202094855116435
-8.554606,-9.270568,2.447758384461258
-8.256773,-9.040273,3.3128647527088813
-8.672721,-9.396104,2.6380775314585687
-8.548239,-9.384803,3.511691367079939
-8.886752,-9.567784,2.708105161882269
-8.934238,-9.588751,2.2651182918132804
-8.937226,-9.582993,2.1139373843847142
-9.048708,-9.750306,2.845601389709506
-8.493651,-9.221006,3.235479939609723
-8.43612,-9.1636,3.2542353619616335
-8.928219,-9.584485,2.3246687669898023
-9.007771,-9.66376,2.314735197385094
-8.376517,-9.104669,3.356264698781718
-8.847847,-9.568872,3.0457492976495395
-9.08385,-9.812208,3.3883548629008775
-8.821703,-9.558634,2.4893380791852397
-8.677566,-9.404423,3.191568491727036
-8.588716,-9.277035,3.6756905727119467
-9.147378,-9.846738,3.719307915020762
-8.783869,-9.574335,2.899280525581638
-8.885263,-9.553346,3.6639962938896407
-9.325999,-10.03562,2.919746936688476
-9.170461,-9.814842,2.097701342610481
-9.238068,-9.968176,2.2724673081976228
-8.955863,-9.654295,2.8241358253483515
-8.741854,-9.477851,2.136601686307804
-9.17552,-9.836031,2.403212782996315
-9.0340185,-9.710009,3.735580344885463
-9.124261,-9.820036,3.715347127727176
-8.889751,-9.553943,2.4449371484391254
-8.921052,-9.574408,2.235936544844966
