g band,r band,age [Gyr]
-8.483409,-9.266575,7.085688440057763
-8.452084,-9.235591,7.10622197042952
-8.46016,-9.243206,7.078514734850247
-7.8875365,-8.821854,7.1091573839709135
-7.996778,-8.890397,7.114611396371271
-8.897556,-9.6805,7.072372904584013
-8.895927,-9.679383,7.103120221567341
-8.673807,-9.457251,7.102375833263524
-8.509709,-9.293244,7.107876019601455
-7.937563,-8.849309,7.117461580897153
-7.7054825,-8.636313,7.107751795252908
-8.026695,-8.952119,7.10659464631499
-8.238198,-9.169215,7.111926469824663
-7.8714676,-8.799583,7.108578325758793
-8.467522,-9.343197,7.077809382987497
-8.217649,-9.137568,7.114941996604371
-8.462066,-9.322862,7.1189277358305425
-8.072753,-9.002009,7.1122981560073075
-8.754713,-9.538289,7.110397657911874
-7.918762,-8.702328,7.109736440356648
-8.132965,-9.057901,7.116222333231272
-8.157636,-9.079102,7.113041526098204
-7.9736905,-8.895092,7.11452923527306
-7.973209,-8.890672,7.110520902340174
-8.016082,-8.94547,7.112877202444644
-8.494397,-9.418457,7.1069252610379445
-8.221453,-9.15069,7.115562114940911
-8.779889,-9.563444,7.109074242279043
-7.861447,-8.772798,7.115417355645464
-8.455095,-9.238539,7.102375833263524
-8.249578,-9.033095,7.106801036048764
-8.069835,-8.99544,7.11295936428997
-8.254721,-9.16749,7.115521034612079
-8.313535,-9.179721,7.117751096093546
-8.239964,-9.16976,7.110604043375881
-7.7148733,-8.645685,7.1134963497225066
-8.2324505,-9.112077,7.118080712490226
-7.8111506,-8.72637,7.116140172864289
-8.376884,-9.15999,7.082122653278145
-8.536368,-9.319916,7.108620385791741
-8.71246,-9.4960165,7.109240525625132
-8.196796,-9.1279955,7.1135374305099734
-8.384997,-9.168153,7.085066266327765
-8.218917,-9.138337,7.108165550041231
-7.9714074,-8.864072,7.115892713438046
-8.803901,-9.587098,7.087552992765399
-8.16178,-9.080238,7.1148598356560075
-8.29691,-9.155292,7.11956740207957
-8.252888,-9.160797,7.07801678213215
-8.483915,-9.267407,7.105271203350926
-8.54087,-9.323996,7.083324951911347
-8.35907,-9.271037,7.1168424471763085
-8.041414,-8.881867,7.119340487096277
-8.03534,-8.818734,7.099396294009273
-8.435573,-9.290451,7.07942748185534
-8.411646,-9.316206,7.115313676619455
-7.8468165,-8.698055,7.117853795629066
-8.1941595,-9.105761,7.115974873917531
-7.9701495,-8.901665,7.111636945326096
-8.202788,-8.9858675,7.080536859980095
-8.057931,-8.973414,7.114984055170663
-7.992909,-8.915099,7.1140744142348
-7.7864475,-8.705322,7.115995414031565
-8.290234,-9.073476,7.090246095074442
-7.9956436,-8.8751,7.11752320072456
-8.160173,-8.943174,7.075817557502127
-8.22698,-9.111526,7.117709038171617
-8.170169,-9.079504,7.076937717224573
-8.296172,-9.079354,7.086683326922092
-8.155049,-8.938223,7.086144308222514
-7.912412,-8.817685,7.1134963497225066
-8.075329,-9.004574,7.113206827719031
-7.707548,-8.5814495,7.118658762338664
-8.166653,-8.94979,7.083988218451817
-8.7111,-9.605761,7.118039632734851
-7.8829365,-8.793175,7.114984055170663
-7.9705863,-8.878708,7.114198634287439
-8.336554,-9.247749,7.116594010614962
-8.25211,-9.035668,7.109322689105246
-8.330316,-9.113491,7.086227460025375
-8.111181,-8.979428,7.118803519031619
-8.58173,-9.364815,7.080837193192749
-8.178018,-9.032501,7.118266549361621
-8.261735,-9.153072,7.1156853558714355
-8.484145,-9.4049635,7.076024958731012
-8.126212,-9.037875,7.113000445198723
-8.164721,-9.011653,7.120723490334447
-8.263153,-9.188151,7.05475348517279
-8.349921,-9.132427,7.172739433517359
-8.905646,-9.688922,7.092275923829388
-8.275404,-9.058594,7.0870971279180255
-8.071271,-8.980096,7.1153557350994285
-7.491673,-8.399955,7.1172757431948135
-8.771567,-9.5546665,7.081666775704384
-8.033261,-8.950764,7.078805288213692
-8.663344,-9.44671,7.097658044558725
-8.044466,-8.974911,7.097824338109754
-8.744419,-9.52744,7.0770208729342805
-8.307877,-9.202373,7.144466610276994
-8.29486,-9.077982,7.0830353835109445
-8.065206,-8.975464,7.05475348517279
-8.658215,-9.441338,7.08311755837093
-7.7692595,-8.663242,7.159683669903289
-7.9946904,-8.909345,7.155450492061254
-7.990483,-8.887539,7.114818755167856
-7.7919827,-8.721062,7.1069252610379445
-8.322043,-9.105095,7.0788874648449305
-8.443012,-9.3011265,7.165228977599887
-7.7564282,-8.639977,7.115313676619455
-8.49287,-9.369245,7.157547048311158
-8.731875,-9.514438,7.0495932918273
-8.427628,-9.210759,7.083656585463628
-8.289827,-9.194534,7.116058012459946
-8.583053,-9.366592,7.108165550041231
-7.903586,-8.750479,7.1594372508866755
-8.331471,-9.108787,7.186676986586801
-8.11308,-8.927306,7.177128599780172
-8.500307,-9.283761,7.102954910886882
-8.259111,-9.043155,7.138537247345083
-8.790023,-9.573478,7.103038055330309
-7.968724,-8.831587,7.078722133254382
-8.025144,-8.915725,7.1172757431948135
-7.8823915,-8.797242,7.115499516340875
-8.121216,-8.983204,7.118721359841826
-8.215169,-9.149241,7.086641261995885
-8.291241,-9.192638,7.161738125168177
-8.201914,-9.08561,7.119113571825957
-7.829811,-8.72716,7.117606338553527
-8.250307,-9.034404,7.14179094105618
-8.388239,-9.171422,7.086724413585376
-8.143718,-8.970648,7.082578529789937
-8.776809,-9.559514,7.058080049972826
-8.546448,-9.450026,7.083324951911347
-8.416056,-9.322399,7.114281773645254
-7.8931794,-8.804296,7.116387631951631
-8.275472,-9.058995,7.107172732617531
-7.887807,-8.798664,7.115437895822814
-8.687058,-9.548546,7.142325882671464
-8.620421,-9.403789,7.097824338109754
-7.750719,-8.659685,7.115231515839692
-8.093824,-9.0220785,7.1458249656994814
-8.283239,-9.208146,7.110479820873294
-8.202082,-9.098402,7.143972749058459
-8.022581,-8.937754,7.0788463765335905
-7.8164754,-8.708094,7.118948275607914
-8.10207,-8.986599,7.145207888379388
-8.319146,-9.181321,7.156724661642238
-8.526216,-9.406641,7.152777931161123
-7.901225,-8.777431,7.165393251165584
-7.9536843,-8.838137,7.166460047479949
-7.7613535,-8.656468,7.117007745328774
-7.8504405,-8.76114,7.1441370436430045
-7.809307,-8.659147,7.122084965395238
-8.079214,-8.968986,7.118143310194668
-8.353715,-9.250902,7.115396815465783
-8.180557,-9.115146,7.151955520881584
-8.312005,-9.233522,7.136889350701598
-8.372694,-9.176804,7.175078251349968
-7.9133635,-8.798401,7.163134475103158
-8.230092,-9.144307,7.11519043543583
-7.8034477,-8.719632,7.1480878892463675
-7.950256,-8.8457,7.162764854222512
-8.07516,-8.976058,7.141832015243286
-8.271601,-9.054629,7.077498283862746
-8.147898,-9.005838,7.119980151873173
-7.3199525,-8.23917,7.14384952801582
-8.521526,-9.304653,7.083324951911347
-8.21183,-8.99489,7.0793443271584495
-8.167372,-9.101317,7.110769347205234
-8.8378525,-9.621112,7.091282044101693
-8.0935755,-8.964261,7.159683669903289
-8.146812,-9.062437,7.114694535539896
-8.329084,-9.224974,7.125840704672597
-8.701567,-9.485075,7.106263052847459
-8.407461,-9.190584,7.08311755837093
-7.9120235,-8.831551,7.158409523152847
-8.6063385,-9.389909,7.109983908153036
-8.158039,-9.063445,7.162805923250559
-7.828254,-8.612728,7.187823809755842
-8.280955,-9.197248,7.11744104095
-8.410245,-9.3136635,7.113992252893437
-8.106128,-9.0225725,7.1634630262944965
-8.926485,-9.709653,7.085812678912756
-8.620461,-9.442964,7.1772517958387345
-8.1310215,-9.038751,7.119753237412346
-7.7742095,-8.702239,7.081500468170843
-7.7574897,-8.667969,7.112091772457326
-8.004379,-8.787544,7.085646374915602
-8.4259815,-9.307895,7.118535523440584
-8.164605,-9.082018,7.114033333568765
-8.320904,-9.21339,7.165352182789728
-7.8557577,-8.772795,7.175693260879271
-8.34932,-9.253547,7.076606072341229
-8.434608,-9.335514,7.076439760539029
-7.421903,-8.321152,7.1188445986124265
-8.712235,-9.495663,7.101382984844547
-8.092244,-8.94522,7.160628272710616
-7.610451,-8.540428,7.1148598356560075
-8.120111,-8.903572,7.103409759446838
-7.9690714,-8.893891,7.1140744142348
-8.237501,-9.020942,7.102210521922771
-8.293562,-9.076893,7.095630229652901
-8.401576,-9.185146,7.109983908153036
-7.8511586,-8.783105,7.088216244848984
-8.408166,-9.301573,7.13874262208232
-8.355718,-9.27413,7.150885696934836
-8.48035,-9.263558,7.0882993957605605
-8.040219,-8.920364,7.11851498361602
-8.261704,-9.165291,7.11519043543583
-8.231941,-9.143921,7.111058873078895
-8.64456,-9.537733,7.162559508927426
-7.6998925,-8.589289,7.165845002614722
-7.981364,-8.90053,7.0783904913622795
-8.040662,-8.961523,7.116883527204678
-7.8542914,-8.781231,7.108371938015811
-8.325543,-9.232927,7.114776696563196
-8.286258,-9.183047,7.110479820873294
-8.433341,-9.217363,7.13730108184427
