g band,r band,age [Gyr]
-8.775211,-9.535539,4.451802231867708
-9.23505,-9.981767,2.390544034727956
-8.558392,-9.397261,3.6054048252376543
-8.553985,-9.388408,3.88198257157066
-9.483089,-10.171888,1.8584737280799377
-9.142979,-9.956177,4.271346518448269
-8.939338,-9.656859,4.575638344007247
-7.7854385,-8.630977,4.382329659475916
-8.909787,-9.698632,3.5511698295074723
-9.413823,-10.050079,1.7143680627183766
-8.797961,-9.529534,3.9708510252146993
-8.605167,-9.333859,3.44074281488356
-8.798758,-9.522778,3.11976595351946
-9.074178,-9.755476,1.7085425590144574
-8.733267,-9.47238,4.416474965468037
-8.584429,-9.362776,4.552478681884606
-9.924683,-10.569309,1.9674044940978028
-9.142824,-9.834104,2.03695429739561
-8.481478,-9.214185,4.029250978118194
-9.2544985,-10.008191,3.5628300562505792
-8.59272,-9.3678665,4.559359745590999
-8.44641,-9.232847,4.436251718274896
-9.129841,-9.825034,2.80235883361995
-8.898234,-9.653213,4.557066275389333
-8.437417,-9.228819,3.589894196511038
-8.598531,-9.351013,3.7464571078285562
-9.090997,-9.809107,3.0840755364178296
-8.583947,-9.305709,3.06378114583287
-9.159206,-9.863875,2.0347993394737944
-9.196382,-9.867153,2.140773380535073
-9.635328,-10.3205805,2.1418466848376188
-8.652157,-9.379327,3.208104395430892
-8.854712,-9.579326,3.1346596265129456
-8.732622,-9.468369,4.487044561360854
-8.399685,-9.13038,3.9264774380388747
-9.185147,-9.929124,2.3004179486589287
-8.374981,-9.114173,4.441296350677645
-8.901127,-9.612798,4.541001423075926
-8.644614,-9.465897,4.496051417192172
-8.186263,-9.045345,4.453692111057819
-8.91451,-9.731054,3.653839908977986
-9.111282,-9.763723,2.2131338258206608
-8.827158,-9.585751,4.5347378250664185
-9.379629,-10.019739,2.053293376417276
-9.361697,-9.997494,2.012575087182741
-8.8940735,-9.626884,4.034647489574251
-9.476359,-10.175785,1.858593695406185
-9.042715,-9.750513,2.217767108975085
-8.940761,-9.641561,1.7688544627550318
-9.333306,-10.019005,1.8384392252281856
-8.644417,-9.371853,3.539724769476015
-9.623894,-10.256532,1.8116206384487956
-9.220401,-9.85569,2.0078401754596538
-8.869691,-9.65717,3.144032885549608
-8.782796,-9.503206,3.0307860213747038
-8.942578,-9.595463,2.224151427202999
-9.124516,-9.895228,3.5712645808514125
-8.648347,-9.496292,4.121389206183405
-8.476475,-9.299615,3.5540573895621392
-9.259976,-9.9267,2.018148090716476
-8.38416,-9.178037,3.1666244338858665
-9.32822,-9.970251,2.0717123638921358
-9.484763,-10.134401,1.8272080791375434
-8.749846,-9.471212,3.0540823046441243
-8.588658,-9.318237,3.8726113501911446
-9.256088,-10.0034275,2.5964380314676934
-9.152632,-9.874371,2.262154500950155
-8.433382,-9.225241,4.47090229985824
-9.035583,-9.766471,2.59071597991832
-8.752232,-9.572363,3.733821631199042
-8.4775505,-9.207712,3.90065483011311
-8.974654,-9.69587,3.050430014258449
-8.935675,-9.643924,2.478657483247508
-9.449615,-10.112508,1.8287180304012995
-8.772203,-9.564998,4.44423865283952
-9.271914,-9.962467,2.0346795249439076
-8.859944,-9.597461,3.6354986142029606
-9.489274,-10.136542,1.7288044904360156
-9.168223,-9.860098,2.1491167506300393
-9.4018,-10.129948,3.5748143453451906
-9.159947,-9.848422,4.590182382280679
-8.919251,-9.596992,2.667245869271458
-9.382099,-9.985937,1.7658277941104945
-8.098794,-8.966638,10.497920062642631
-8.584948,-9.318498,4.073233955488536
-9.130864,-9.8284445,1.6676041414928662
-8.709647,-9.44772,3.0653778650892036
-9.042559,-9.697081,2.2653552996262096
-8.7961855,-9.522207,2.5099217896614086
-9.291313,-9.932685,2.065374485371999
-8.513713,-9.244823,4.580505083112699
-8.765404,-9.491053,3.160780823271427
-8.511211,-9.241474,3.9054954729046916
-9.058873,-9.742792,1.726863868908401
-9.22653,-9.882763,2.3234868231046306
-8.76728,-9.494304,3.5721519911439668
-9.276865,-9.8861885,1.8066635763788401
-9.076122,-9.738516,2.4244673758992086
-8.489615,-9.294975,3.4832786232910404
-8.909945,-9.70821,4.488930029277142
-9.612806,-10.196668,1.6065594985080818
-9.060258,-9.709844,2.159391249699871
-8.733496,-9.470881,4.572644317258028
-8.925664,-9.647217,3.0586477536240366
-9.106745,-9.811455,3.1249399223252023
-8.488094,-9.224666,4.566237889948457
-9.226753,-9.900208,1.7906398405675805
-8.966529,-9.618793,2.208736923979991
-9.276656,-9.921406,2.102001034898805
-9.311348,-9.968888,1.9683652493430017
-8.277549,-9.138128,4.052982065441409
-9.172617,-9.962334,4.399622884085664
-8.545917,-9.274572,3.4349292623995513
-9.157455,-9.785306,1.9443355265923383
-8.05644,-8.900274,3.64025210165423
-8.262495,-9.091707,3.730964004482601
-8.907427,-9.698838,3.532386835518258
-8.843657,-9.566298,3.0854429753606194
-8.926802,-9.623584,1.9999569323484572
-8.717276,-9.52989,3.624661821594575
-9.306954,-9.89479,1.6392302008186057
-8.974515,-9.698361,3.7362400001338223
-9.26503,-9.921272,2.323841672289822
-8.726492,-9.51659,3.5461707374444664
-8.919432,-9.582478,2.4318805189022292
-8.672284,-9.408975,4.254331318036668
-9.657752,-10.3351755,1.9765298447870947
-8.700739,-9.534942,4.37726436200159
-8.833177,-9.583991,3.72991961514969
-8.793354,-9.556819,2.7887717319030827
-8.465832,-9.313323,4.488930029277142
-8.759988,-9.513821,3.063667493302354
-9.567169,-10.178411,1.8200801790764505
-9.542695,-10.270068,2.1950655368702776
-8.607154,-9.407219,3.6348359505699666
-8.810396,-9.538291,3.3166914671952377
-9.499923,-10.225602,3.093986305279042
-8.768828,-9.4894085,3.0348996682092686
-9.227323,-9.889923,2.4268210494866516
-9.409676,-10.1501465,3.007119133074566
-8.783779,-9.501035,1.9957285942481011
-8.757759,-9.468566,2.0334823010206584
-8.886416,-9.608544,3.0727904611312695
-9.085526,-9.797629,2.176149312006018
-8.552403,-9.278256,3.6659820463388684
-8.269827,-9.107265,4.500238572849373
-9.085677,-9.738185,2.2147972262586855
-9.510473,-10.174591,1.7988048607687421
-8.6083355,-9.335848,3.533721750906098
-8.512059,-9.211673,4.659290628241726
-8.733339,-9.460471,3.563606719331535
-8.735841,-9.499465,2.575119973284613
-9.551556,-10.146671,1.6979192494647712
-8.633852,-9.36107,3.556833699470914
-8.747196,-9.408204,2.4088080016042603
-9.038929,-9.690704,2.1967000520984836
-9.325963,-10.021205,1.641816297576387
-9.335389,-9.9460535,1.816031988129712
