g band,r band,age [Gyr]
-8.736358,-9.535016,5.945614819822809
-7.847164,-8.691388,6.156617752434523
-8.487775,-9.321511,6.204436591775378
-8.102952,-8.92168,5.896617246767915
-8.329692,-9.108257,6.562901335541847
-8.36242,-9.123617,5.696151323212801
-8.571103,-9.335129,5.863016832025342
-8.335645,-9.123491,6.209170479991101
-8.6190195,-9.381626,5.778661675265756
-8.454612,-9.196218,7.99779994559005
-8.250251,-9.132775,6.393151024996615
-8.331991,-9.106841,6.561847614612776
-8.272276,-9.109275,6.423489767667939
-8.407488,-9.171415,5.857186822708225
-8.32351,-9.110229,6.579047094200563
-8.332368,-9.0980425,6.530879934058048
-8.18097,-9.0445795,5.6988227808781335
-8.031183,-8.875839,5.9538214284719295
-8.350932,-9.104089,6.576241376368425
-8.54443,-9.307113,5.783207010138943
-8.284673,-9.045984,5.702827661490845
-8.230181,-9.13818,5.952329902443562
-8.126051,-8.90254,6.461902803562648
-8.647847,-9.466208,6.406725762647036
-8.185799,-8.968381,6.5544667035047395
-8.485838,-9.252651,6.112620495252329
-8.72888,-9.59055,4.809402939686677
-8.0818615,-8.960741,5.668642627857102
-8.437525,-9.297188,6.104901980168223
-7.9110703,-8.691536,6.2222672444194265
-8.408817,-9.229548,5.699394897090498
-8.545472,-9.2948885,6.489906074582633
-8.595447,-9.356002,6.231352389061033
-8.10119,-8.943465,5.96574836090656
-8.635934,-9.396458,5.657161554796977
-8.703661,-9.463278,7.996621542163672
-8.15227,-9.009386,5.990677093263008
-8.506319,-9.329842,5.857939349567468
-8.202308,-9.083727,5.962394844435634
-8.497285,-9.342049,5.637041740189591
-8.783495,-9.572093,6.293278130621586
-8.100069,-8.866636,6.087975075528982
-8.387058,-9.15378,6.103431453646602
-8.769859,-9.534438,5.896242329534019
-8.123905,-9.027514,5.87410272059334
-8.31248,-9.1564045,6.322840780496225
-8.192347,-9.025035,6.160641410579001
-8.451318,-9.254479,6.21644809984227
-8.566544,-9.330484,5.857939349567468
-8.497643,-9.376512,5.700920231072823
-8.333508,-9.206477,5.6468186291579965
-7.795423,-8.67576,5.8500365880274
-8.54918,-9.303281,6.547431536693807
-8.60326,-9.368193,5.926191323794236
-8.469423,-9.233005,5.83647613211648
-8.282315,-9.044703,5.7657728643941795
-8.354419,-9.247185,6.006274298652294
-8.736873,-9.502605,6.004790034690046
-7.77266,-8.646597,6.137941252311078
-8.418207,-9.317315,5.6969144504673235
-8.643595,-9.5181055,6.109681278407258
-7.950596,-8.827524,6.106740156074016
-8.806714,-9.542848,6.484241457329955
-8.218891,-8.982797,5.855870155997247
-8.785074,-9.611744,5.918337964071909
-8.639407,-9.401684,5.759323664149026
-8.348684,-9.112568,5.854553503663628
-8.219297,-8.98198,5.783207010138943
-8.2776575,-9.158833,6.026665626764182
-8.145861,-8.927631,6.4739650059553515
-7.974277,-8.737292,5.8028818563712985
-8.723411,-9.508727,6.413862833366494
-7.8586016,-8.749606,5.692716833992986
-7.989028,-8.752955,5.857186822708225
-8.850741,-9.613527,5.789264493758157
-8.324724,-9.206411,5.8564343005383055
-8.267321,-9.018651,6.563603490339991
-8.319615,-9.130956,6.437022498086851
-8.593554,-9.354022,5.65409762811081
-8.861536,-9.627657,6.04332021713574
-7.958363,-8.869303,5.6988227808781335
-8.508461,-9.27182,5.82327728925725
-8.692991,-9.454952,5.740712569503202
-8.952962,-9.691962,6.947266852763349
-7.910047,-8.810256,5.869594839220373
-8.436127,-9.201897,6.008500234205855
-8.506423,-9.267888,5.711787307099263
-8.134523,-9.031825,6.017031018368545
-8.225117,-9.126012,5.8707222821229355
-8.430134,-9.316382,5.8458955810176985
-8.296956,-9.094649,6.166126398437065
-8.375535,-9.135879,5.647201464490308
-8.504825,-9.280618,5.945614819822809
-8.10248,-8.912276,5.865084195385306
-7.9484706,-8.859431,5.643368308411553
-8.383364,-9.14564,5.759323664149026
-8.511703,-9.30607,6.2222672444194265
-8.099072,-8.86636,6.194234497365954
-8.506851,-9.270779,5.857186822708225
-8.061092,-8.861229,7.599815166964044
-8.353486,-9.119888,6.071390080131142
-8.395787,-9.156675,5.67820145797916
-8.686418,-9.446856,5.652374272276081
-8.080219,-8.898042,6.19787937179585
-8.443771,-9.20938,5.992534443220499
-8.094999,-9.002313,6.363079195772773
-8.532057,-9.293405,5.704925193598887
-8.587237,-9.350872,5.839679948911676
-8.442977,-9.327246,6.38778823589661
-8.284629,-9.05003,5.9720785519887585
-8.256607,-9.145349,5.67361485923278
-8.763815,-9.524412,5.661372295863693
-8.416667,-9.211809,6.451247899287516
-8.029079,-8.8509445,6.039621864101044
-7.8067527,-8.688438,6.4017269575791085
-8.569265,-9.332574,5.820258334581255
-8.866483,-9.7393875,5.847401473863184
-8.545053,-9.355644,6.178912269024937
-8.347389,-9.20366,4.811041717909896
-8.095573,-8.944767,5.943002132511811
-8.24855,-9.07491,5.9444945323565115
-7.934288,-8.836342,6.095337918763253
-8.222227,-8.98536,6.562374474939279
-8.29672,-9.126218,5.861324314250588
-9.116504,-9.841915,8.651515662874235
-8.617737,-9.403685,5.922826098458536
-8.556784,-9.418693,6.327879454820278
-7.6890917,-8.560288,6.158812464435569
-8.191624,-9.090075,5.847778194033402
-7.7974863,-8.703768,5.852671760169865
-8.816212,-9.574529,7.220520764654511
-8.02144,-8.794121,11.851930737989827
-8.265538,-9.189166,6.149664088504424
-8.36656,-9.17731,9.178000498903046
-8.270069,-9.0309925,5.68030432827207
-8.282567,-9.108845,5.878984655162227
-8.082153,-8.91106,6.156983535993353
-8.1813135,-9.029464,6.173068927811127
-8.3819275,-9.145312,5.8247867960244095
-8.340078,-9.133143,6.5336992245498315
-8.552383,-9.316377,5.861135932820152
-8.884104,-9.645497,5.7075939556621815
-8.328095,-9.092847,5.908606393868279
-8.043081,-8.899574,4.581858953353697
-8.133931,-8.892769,6.513946797692721
-8.314533,-9.077613,5.806661333078035
-8.809719,-9.5738945,5.872037157191284
-8.35521,-9.267513,5.867339984550729
-8.133187,-9.030392,5.8323297436915995
-8.080429,-8.982217,6.3609276081690975
-8.023469,-8.855181,5.676672568378386
-8.402827,-9.253881,5.88048705290885
-8.206936,-9.043853,5.666347086170154
-8.509581,-9.276057,6.078763914952559
-8.011069,-8.934072,6.163200986735547
-8.143957,-8.996241,5.886866832245721
-8.136206,-8.940082,6.454801138646271
-8.574413,-9.370718,6.435598906815106
-8.421392,-9.185977,5.896617246767915
-8.285203,-9.051324,6.04332021713574
-8.209236,-9.089546,6.198244254116088
-8.224972,-8.988928,5.858879282691736
-8.562528,-9.327762,5.955686103171831
-8.398644,-9.15967,5.686225342844358
-8.630956,-9.39183,5.677437497481002
-8.908021,-9.793424,5.824409173554307
-9.003211,-9.764204,5.684315300139945
-7.61441,-8.525029,6.367380456979939
-7.597019,-8.465314,5.641068487326949
-8.363293,-9.128735,5.976172814707728
-8.263698,-9.137152,5.884052269594888
-8.290019,-9.143445,5.874291122004718
-7.9265184,-8.774454,6.412079042545853
-8.653357,-9.416924,5.835722764736527
