g band,r band,age [Gyr]
-7.7635393,-8.671926,10.432563306624509
-7.1470265,-8.105484,10.50502916516688
-8.079183,-8.949924,10.13458357290287
-7.4752164,-8.379039,10.265722690615444
-8.185882,-9.087924,10.346469830178334
-8.110658,-9.016015,9.972284075143776
-7.780011,-8.617111,11.396216747405031
-7.769247,-8.595966,11.464346179013042
-7.558844,-8.435856,10.269607486669106
-7.4139805,-8.310458,10.808757757139054
-8.292754,-9.161929,8.833936219721936
-7.976374,-8.734826,12.07091473150138
-7.842111,-8.7221365,10.215625238212757
-7.9910245,-8.879435,10.27651417302976
-7.2107267,-8.156489,10.420947097643712
-7.81899,-8.721707,8.88351331275479
-7.8116927,-8.739235,10.424217696236207
-8.251468,-9.114647,10.10860914473078
-7.4025865,-8.313833,10.328334794495778
-7.396285,-8.351838,10.215529404937724
-8.202081,-9.097148,10.265911936523294
-8.242895,-9.091434,10.22128806867349
-8.460834,-9.325768,10.140659224738304
-7.9791617,-8.788959,8.60876880046419
-7.8330317,-8.733586,8.830581465331806
-7.988483,-8.881342,11.09458446698251
-8.143299,-9.046149,8.841671064721107
-7.809404,-8.706364,10.109201119084489
-7.792175,-8.731671,10.277648326468626
-7.965736,-8.850129,8.832646337369098
-8.025165,-8.865196,11.073606130463443
-7.550334,-8.504155,10.396503693893873
-8.361029,-9.266044,10.710367066688736
-7.4618053,-8.349549,8.98011144614198
-7.8231397,-8.709026,8.9563090235038
-8.242715,-9.169304,10.057947269030686
-8.142585,-8.989295,10.23975378101435
-7.997105,-8.900304,10.15707481414022
-7.3601584,-8.276787,10.123879849958456
-7.0524898,-8.00018,10.377786835047441
-7.7651696,-8.615386,11.048584553943162
-7.788488,-8.683322,10.377970642307217
-7.960228,-8.857403,8.958453993039873
-7.714858,-8.631894,10.743610741805186
-7.810717,-8.714488,10.46933987246331
-8.260574,-9.129857,10.960191898641122
-7.245848,-8.18389,10.215145178314016
-7.7670145,-8.636508,10.33373815263715
-8.097188,-8.970552,10.834573968463161
-7.4563456,-8.388458,9.667280898664858
-8.037794,-8.9517765,9.05127473389194
-8.1006775,-8.96791,10.319373943954622
-8.177447,-9.079819,10.204948917915416
-7.7230496,-8.541318,9.122610271235901
-7.6749372,-8.559257,10.180600938887839
-7.678957,-8.614198,10.648301684242984
-7.2283263,-8.162161,10.456943160592445
-7.897254,-8.782724,10.286709523114663
-7.97294,-8.85715,10.47149169989561
-7.85548,-8.795465,10.130069889997644
-8.429541,-9.214971,11.546940073881984
-8.224562,-9.095875,8.514021416441125
-8.281911,-9.123329,10.245571670091234
-8.530594,-9.307686,11.670323683242648
-7.9325824,-8.761973,10.981699833667124
-7.8143725,-8.695074,11.145921549493185
-7.331913,-8.216361,10.27481211358271
