Star ID,Mass [Solar Mass],Radius [Solar Radius],g band,r band,Temperature [K],Age [Gyr]
74410445842196864,0.73107123,0.7312761999999999,11.247424,10.5115385,4625.775,11.708188999999999
4459268662868843264,0.8228589,0.75021875,10.759065,10.124786,4959.187,2.453264
2611522841056641664,0.7200805,0.6589458,11.802493,10.999806,4459.947,0.7469781
742430005291666176,0.550006,0.5488821999999999,13.462367,12.424201,3753.6587,13.359176000000001
5894829045987966080,0.61504227,0.6629919,12.904035,11.892781,3881.0881,12.936717999999999
2866785052540493952,2.1434762000000003,2.487148,5.931527,5.75924,8568.56,0.6405807
2626239185719703040,0.6845788,0.64848095,12.135699,11.280935000000001,4323.2456,5.379847
5268351681508184320,0.8694459999999999,0.83052784,10.232805,9.648515,5255.0317,5.9271335999999994
2703167272671165952,0.7483653,0.6970519000000001,11.293934,10.566096,4622.769,3.8526304
1715305488714375296,1.0775992,0.9992539,9.2146,8.762834,5924.6167,1.0374191
4785096495531547520,1.0969423999999999,1.5742971000000001,8.242506,7.787552000000001,5903.549,7.187155199999999
158013908405221120,1.221392,1.3631976000000001,8.228356,7.839490400000001,6350.2609999999995,2.7451974999999997
1189912619117744768,0.9764851000000001,0.9877549000000001,9.409735000000001,8.908939,5706.4404,5.5329833
5560720481990880768,1.4218271999999998,1.8988668000000002,7.477403999999999,7.108842999999999,6461.5767,2.387986
17667541246229760,0.72225374,0.6620722,11.853276,10.971947,4478.141,0.81039876
1927823769058126208,0.9966811,0.9859114,9.413105999999999,8.9240055,5751.6987,4.3880534
3466129218799159680,0.5773111999999999,0.6411276,13.340507999999998,12.258892999999999,3640.66,9.747707
5522357181277697920,1.0305116,0.9603155000000001,9.429143,8.947928,5791.069,1.7813035
4053625283978073472,0.9429827,0.86901575,9.972916,9.413422,5486.013000000001,2.5383825
2542980218190518528,0.9480651,0.8598093000000001,10.002376,9.441279,5481.925,1.6310989
6189516613382822400,0.8301374,0.7405775,10.9500475,10.281708,4964.251,0.5315354999999999
6436107144164396800,1.388989,1.7310223999999999,7.625974,7.266951,6552.0205,2.274194
1212768064241835136,0.5332585999999999,0.5154316,13.622635,12.577115,3758.1125,11.955177
3712819667695007104,0.70795554,0.6690986999999999,11.99672,11.140236999999999,4437.719,5.2047186
6806910156366607104,0.76939327,0.79164577,10.909227,10.217299,4719.444,10.156323
3712097975750356992,0.63459295,0.59160525,12.800801,11.839894000000001,4069.1816,0.7897064
4913732827630779008,0.7830885999999999,0.7388855,10.892578,10.240862,4833.737,6.1363297
6676221306637347712,0.7185151,0.69101715,11.529081,10.767864,4526.469,8.234648
878165437295111168,0.73605794,0.6770119000000001,11.64748,10.864138,4536.8833,1.7250226999999998
6712088582824776704,0.54022914,0.53782064,13.288376000000001,12.310273,3663.2144,12.644646
4476265841324667520,0.56948763,0.5841388000000001,13.444912,12.376664,3773.2634,13.414082
5247416705243609088,1.5436166999999998,1.5490306999999999,7.3451424,7.1075163,7389.323,0.7035977
4830392698103591424,0.71037865,0.68656945,11.641638,10.849167999999999,4491.431,8.907891000000001
4838010011581789952,1.303518,1.5026643,7.921995599999999,7.560345,6513.3853,2.362368
4827392646267912064,1.6300826000000002,1.5906367000000001,7.122106,6.924412299999999,7715.5225,0.6045965
5768238454028080128,0.5993812,0.70066655,12.732978,11.778959,3640.7559,12.414461
6327034181936324608,1.3426129,1.8659602,7.534049499999999,7.1222687,6311.5786,3.2424839
4507874395454786048,1.1120656999999998,1.5317495,8.223309,7.778042,5982.9785,6.512698
1092990497327631360,1.1009613999999999,1.2878059,8.611547,8.175624000000001,6020.4536,5.397678
42577797511791616,0.8882884,0.79917806,10.350435000000001,9.759839,5238.786,1.5798671999999998
1841915897624174080,0.7266833,0.672661,11.757808,10.95428,4499.8174,2.39047
1831778988840747136,0.8752040999999999,0.85110325,10.109548,9.536693,5308.01,6.880596000000001
1652148132065326720,1.1203847,2.5153706000000002,8.021427000000001,7.384975,5001.876,7.5966377000000005
6733374646926161280,0.95131296,0.93448704,9.662059,9.135487,5594.956999999999,5.223999
5321076528244767360,0.8468426,0.9162982,10.081253,9.488969,5079.7407,12.809567999999999
6058248772054585728,1.1286503,1.1806412,8.690338,8.268677,6130.0317,3.0036461
500944167702333312,0.7211072,0.68659437,11.540502,10.787668,4520.965999999999,6.703027199999999
6690652126172090752,0.72596854,0.73579234,11.301153999999999,10.555613000000001,4562.399,11.932891
6084117153872778496,0.74207926,0.7486221,11.085887,10.383194999999999,4660.0415,11.592577
381487379006903808,0.87363786,0.78574145,10.454831,9.855243,5170.939,1.4809288
1126294494078069248,0.78935033,0.83869827,10.683050999999999,9.936202,4778.2915,10.165792999999999
4002565308308607616,1.2996773000000001,1.426093,7.988175999999999,7.6337724,6568.656,1.9236296000000002
4464843874013948160,0.91256005,0.95645404,10.123384,9.427947,5542.3730000000005,8.88684
891238493111384064,0.98374057,0.9543285,9.506399,9.0114155,5689.774,4.0165453
3791077201643680768,0.777047,0.6963455,11.142365,10.474437,4729.084,0.28679654
6818797114010324608,0.96884215,1.296561,8.797367,8.308739,5704.6333,11.246424000000001
3953900747569804928,1.9048485000000002,2.1168047999999997,6.2304754,6.0935917,8121.3975,0.77350533
6815708139171461376,1.3084639999999998,1.5059394,8.121642,7.7099724,6331.419,2.2948775
918041292356641792,0.7250684000000001,0.6749459,11.763751,10.948953999999999,4500.282,3.1906017999999996
1236737864403465088,0.8397825999999999,0.7776508000000001,10.512727,9.914583,5067.8774,3.9388312999999995
991706711695840000,0.7374227,0.6842594,11.572894999999999,10.792828,4557.818,3.0608587000000003
5565967003581171072,0.6467071999999999,0.63767236,12.621861,11.659818,4177.7837,13.183125
3731189753924583040,0.9718476999999999,0.98247486,9.438171,8.937439999999999,5690.9424,5.6436243
1983205791793448576,0.98555547,0.9663949000000001,9.542149,9.015517,5706.4844,4.3417335
3070918903884827392,0.96959764,1.3873886999999998,8.700005,8.206560000000001,5655.2573,11.794984
742641768654732416,0.559379,0.54740345,13.366566,12.346433,3823.6912,13.281228
5904444717524851840,0.6960522,0.67139745,12.032128,11.172557000000001,4374.6855,8.404474
150197587618319744,0.53160393,0.54149634,13.826035500000001,12.728703,3660.5405,12.934396000000001
1737322384427045760,0.74020106,0.71283823,11.231059,10.525326,4648.952,8.606063
4400420051767319808,0.56711066,0.6024025,13.390997,12.319185000000001,3614.7622,7.5796356
652646260886458880,0.6895796999999999,0.7095291,11.623832,10.853019999999999,4357.017,13.272332
5333827530234092160,0.755753,0.76953053,11.002925,10.301075,4708.3859999999995,12.810613
4886577497468761728,1.0218936,0.9036546,9.232794,8.753948,5890.066,0.3895482
5961980584801587584,1.0811870000000001,1.4543171,8.378303,7.918936,5942.03,7.1679387000000006
6620617736605889664,1.1383216,1.3752937,8.4541,8.01924,6032.599,5.0152903
4871101154049292672,1.0344439,0.96197367,9.399994,8.931446000000001,5800.3564,1.6490137999999999
223642623595261184,0.8619905000000001,0.76123506,10.6019945,9.989241999999999,5104.9346,0.22544225
3082167801193515392,1.1177823999999998,1.5327628999999998,8.263947,7.8093038,5998.9927,6.3441753
1167199801260751360,0.7260118,0.68316394,11.565769,10.799602499999999,4525.0654,4.9420986
1107947394521657984,0.54975325,0.5431073000000001,13.510470000000002,12.466992999999999,3765.2329999999997,12.949428
1060501681072955008,0.6390191999999999,0.5990025999999999,12.757501,11.826814,4099.312,1.9597218
5210715037165609472,0.93735796,0.94827485,9.647845,9.106842,5581.753000000001,6.6848288
1954851929532685312,0.7253911,0.7115278,11.519864,10.727997,4604.7124,11.116292999999999
6914595187021830784,0.7017958000000001,0.6433169,12.270936,11.36753,4343.378,0.5890599
5915984577409268224,1.1295626,1.2028477,8.644897,8.2250595,6131.321,3.2895727
1207124374135568512,0.91232693,1.0077751,9.46513,8.962385000000001,5584.526999999999,10.512125
3192415007473939456,0.8604658000000002,0.84573454,10.196053,9.606792,5262.6704,7.9188867
3373222131223447296,0.6818293000000001,0.6408067,12.325343,11.428296000000001,4284.0405,3.7913432
315212975612897408,0.9280976000000001,1.0827280000000001,9.286245,8.768338,5640.892,11.100304
3913104055815376512,1.1173307,1.321956,8.498445,8.062285000000001,6031.384,5.181831
1799503031154380288,0.54139405,0.5756501,13.512015,12.475799,3551.2690000000002,9.21246
913924583384303872,3.001394,11.084171000000001,4.885139499999999,4.2367887,4981.067,0.37690490000000004
4238323931579378432,0.689562,0.6928854999999999,11.910194,11.073458,4069.805,10.882256
1265709102442604288,1.1565192,1.7075073,8.311478999999999,7.7654057,5555.9169999999995,5.8767695
6266746584997508864,0.7364265,0.66616535,11.594563,10.849067999999999,4549.396,0.3062051
1432024151838020480,0.8680617,0.98844916,9.649848,9.105783,5422.9014,13.428704999999999
4004304873142810496,0.72597736,0.6798363000000001,11.8017,10.969197,4515.204000000001,4.126743299999999
4903478094993673728,1.0712556,1.0371698,9.113955,8.6640215,5942.1733,2.3015351
3665091792078506496,1.0465286,1.1846406,8.866338,8.411325,5931.044,6.189362
4194256291503277056,0.78603166,0.8021419,10.725214,10.063222999999999,4852.6597,10.671016
2961433109405517056,0.78107667,0.7981284000000001,10.705261,10.057188,4961.9346,13.466532
10176053130242048,0.9690334999999999,1.5011603,8.642864,8.130208999999999,5548.218000000001,12.312578
1083473021597836160,1.1932213,1.4591352,8.272528999999999,7.854922999999999,6129.906999999999,4.170791599999999
