Galaxy ID,Stellar Mass [Mo],g band,r band,Probability is spiral
200810,41357005000.0,-20.056957,-20.779684,0.08483543992042542
200811,16092440000.0,-19.491169,-20.05096,0.40289247035980225
200812,24365033000.0,-19.139437,-19.931438,0.147423654794693
200813,12169215000.0,-19.491936,-19.89879,0.6328753232955933
200814,23816675000.0,-19.127838,-19.93246,0.30385154485702515
200816,5190460400.0,-18.765451,-19.179735,0.3784456253051758
200818,13084807000.0,-18.61777,-19.3829,0.31362974643707275
200819,9287792000.0,-18.870852,-19.460285,0.9916239380836487
200821,8729566000.0,-18.592876,-19.27053,0.4950096011161804
200822,9950983000.0,-18.225712,-18.999096,0.38626429438591003
200824,3162941200.0,-17.258549,-17.986774,0.7222430109977722
200840,3711622100.0,-17.284826,-18.06562,0.5445644855499268
202634,475040800000.0,-21.5446,-22.353514,0.2647208571434021
202635,156053010000.0,-21.436409,-22.11503,0.9192034006118774
202636,62660927000.0,-20.754986,-21.423357,0.4984305202960968
202637,84025750000.0,-21.342083,-21.885622,0.8274465799331665
202638,64145256000.0,-20.339981,-21.110233,0.246914803981781
202639,63533056000.0,-20.168034,-20.961533,0.33476680517196655
202640,42018095000.0,-20.331408,-20.97118,0.5531622767448425
202641,3322902500.0,-18.884241,-19.179108,0.3972685635089874
202642,16449312000.0,-18.999634,-19.756754,0.381888747215271
202643,29235132000.0,-19.461689,-20.241512,0.4728395938873291
202644,23084010000.0,-19.14263,-19.929008,0.4011762738227844
202646,21243044000.0,-19.104227,-19.895632,0.16457805037498474
202647,8310731000.0,-18.454481,-19.14748,0.5280837416648865
202648,14003078000.0,-18.617178,-19.395699,0.1705525517463684
202650,4553369000.0,-17.559393,-18.305014,0.32860279083251953
202651,5669569000.0,-17.747728,-18.497068,0.33785179257392883
202652,3335952100.0,-18.64097,-19.039936,0.5644230246543884
202653,8999768000.0,-18.579496,-18.97653,0.6492766737937927
202654,7428924000.0,-17.973633,-18.741705,0.5104125142097473
202656,5136817700.0,-17.485579,-18.264198,0.3955860435962677
202658,5703762000.0,-18.409372,-18.816025,0.3409934639930725
202661,4496046000.0,-17.361822,-18.135038,0.41029083728790283
